
 num     #instances         #bytes  class name
----------------------------------------------
   1:       1543500       37044000  de.schmiereck.noiseComp.generator.SoundSample
   2:             9       14112216  [Lde.schmiereck.noiseComp.generator.SoundSample;
   3:          4230        6004328  [I
   4:         24789        3113544  <constMethodKlass>
   5:         24789        2989384  <methodKlass>
   6:          2077        2378208  <constantPoolKlass>
   7:          2077        1876760  <instanceKlassKlass>
   8:         37296        1733040  <symbolKlass>
   9:          1980        1652416  <constantPoolCacheKlass>
  10:          2603         695592  [B
  11:          8121         552504  [C
  12:          2288         420992  java.lang.Class
  13:          3403         328952  [[I
  14:          8129         325160  java.lang.String
  15:          3364         251464  [S
  16:           450         170120  <methodDataKlass>
  17:          1550         126352  [Ljava.lang.Object;
  18:          2609         125232  java.util.HashMap$Entry
  19:           182         104832  <objArrayKlassKlass>
  20:          1626          78048  java.util.Hashtable$Entry
  21:           312          73344  [Ljava.util.HashMap$Entry;
  22:           523          66944  java.lang.reflect.Field
  23:           338          51376  java.lang.reflect.Method
  24:           105          38128  [Ljava.util.Hashtable$Entry;
  25:            26          21632  com.sun.java.swing.plaf.windows.WindowsScrollBarUI$WindowsArrowButton
  26:           308          19712  java.util.HashMap
  27:           440          17600  sun.font.TrueTypeFont$DirectoryEntry
  28:           388          15520  java.util.ArrayList
  29:           169          15120  [Ljava.lang.String;
  30:            19          15048  javax.swing.JButton
  31:           199          14328  sun.java2d.loops.Blit
  32:           163          11736  sun.java2d.loops.ScaledBlit
  33:            17          11288  javax.swing.JLabel
  34:           454          10896  java.lang.Integer
  35:           272          10880  java.util.Vector
  36:            90          10800  java.lang.reflect.Constructor
  37:           354          10672  [Ljava.lang.Class;
  38:           648          10368  java.lang.Object
  39:           184          10304  java.lang.ref.SoftReference
  40:           207           9936  java.beans.PropertyChangeSupport
  41:           411           9864  javax.swing.event.EventListenerList
  42:           405           9720  java.lang.Short
  43:            13           8424  javax.swing.JScrollPane$ScrollBar
  44:            38           8248  [J
  45:            12           7872  javax.swing.JViewport
  46:             9           7560  javax.swing.JTextField
  47:           209           7400  [Ljava.beans.PropertyChangeListener;
  48:            15           7200  javax.swing.CellRendererPane
  49:           210           6720  java.awt.AWTEventMulticaster
  50:             2           6536  [Lsun.java2d.loops.GraphicsPrimitive;
  51:            40           6520  [[I
  52:             8           6464  javax.swing.JMenuItem
  53:            88           6336  sun.java2d.loops.MaskBlit
  54:            93           5952  java.util.Hashtable
  55:            61           5856  java.awt.Font
  56:             8           5568  javax.swing.JScrollPane
  57:            86           5504  java.lang.ref.Finalizer
  58:           113           5424  java.util.concurrent.locks.ReentrantLock$NonfairSync
  59:           112           5376  java.util.concurrent.ConcurrentHashMap$Segment
  60:           216           5184  javax.swing.ArrayTable
  61:           209           5016  sun.awt.EventListenerAggregate
  62:             6           4800  javax.swing.plaf.basic.BasicSplitPaneDivider$1
  63:             6           4800  javax.swing.plaf.basic.BasicSplitPaneDivider$2
  64:            73           4672  javax.swing.DefaultButtonModel
  65:            64           4608  java.util.WeakHashMap$Entry
  66:            32           4608  sun.awt.image.IntegerInterleavedRaster
  67:             8           4608  <typeArrayKlassKlass>
  68:           141           4512  javax.swing.ActionMap
  69:            21           4368  sun.font.TrueTypeFont
  70:            36           4320  java.awt.GridBagConstraints
  71:             5           4200  javax.swing.plaf.basic.BasicComboBoxEditor$BorderlessTextField
  72:           130           4160  javax.swing.InputMap
  73:            86           4128  com.sun.java.swing.plaf.windows.TMSchema$Part
  74:            24           4064  [F
