
 num     #instances         #bytes  class name
 128:            66           2112  javax.swing.plaf.basic.BasicButtonListener
 129:            65           2080  java.awt.Rectangle
 130:             1           2072  [Ljava.lang.Short;
 131:             1           2072  [Ljava.lang.Integer;
 132:            32           2048  java.awt.image.SinglePixelPackedSampleModel
 133:            35           1960  com.sun.java.swing.plaf.windows.DesktopProperty
 134:            27           1944  sun.java2d.loops.BlitBg
 135:            17           1904  java.util.logging.Logger
 136:            28           1904  [Ljavax.swing.text.GapContent$MarkData;
 137:            26           1872  com.sun.java.swing.plaf.windows.DesktopProperty$WeakPCL
 138:            77           1848  javax.swing.AbstractButton$Handler
 139:            38           1824  sun.reflect.UnsafeQualifiedStaticIntegerFieldAccessorImpl
 140:            14           1792  javax.swing.text.PlainDocument
 141:            32           1792  java.awt.image.DataBufferInt
 142:            20           1760  sun.nio.ch.FileChannelImpl
 143:            24           1728  java.awt.geom.AffineTransform
 144:            36           1728  java.util.concurrent.ConcurrentHashMap$HashEntry
 145:            42           1680  sun.reflect.NativeConstructorAccessorImpl
 146:            26           1664  java.awt.SystemColor
 147:            41           1640  java.util.LinkedList$Entry
 148:            34           1632  sun.reflect.UnsafeQualifiedStaticObjectFieldAccessorImpl
 149:            68           1632  java.lang.Float
 150:            67           1608  java.awt.Dimension
 151:            49           1568  com.sun.java.swing.plaf.windows.WindowsLookAndFeel$XPValue
 152:            27           1512  javax.swing.DefaultBoundedRangeModel
 153:            63           1512  de.schmiereck.noiseComp.swingView.ModelPropertyChangedNotifier
 154:            11           1496  sun.java2d.d3d.D3DSurfaceData
 155:            46           1472  javax.swing.SizeRequirements
 156:            14           1456  javax.swing.text.FieldView
 157:             2           1456  com.sun.java.swing.plaf.windows.WindowsTableHeaderUI$XPDefaultRenderer
 158:            30           1440  sun.swing.ImageCache$Entry
 159:            45           1440  java.awt.Insets
 160:            36           1440  sun.reflect.NativeMethodAccessorImpl
 161:             2           1424  [Lcom.sun.java.swing.plaf.windows.TMSchema$Part;
 162:            44           1424  [Ljava.lang.reflect.Constructor;
 163:             2           1408  sun.swing.table.DefaultTableCellHeaderRenderer
 164:            57           1368  java.awt.geom.Point2D$Float
 165:             2           1328  javax.swing.JRootPane
 166:            33           1320  java.lang.ref.ReferenceQueue
 167:             8           1312  [Lsun.java2d.loops.RenderCache$Entry;
 168:             2           1296  javax.swing.table.JTableHeader
 169:            32           1280  sun.awt.SunHints$Value
 170:            26           1248  javax.swing.tree.DefaultMutableTreeNode
 171:            14           1232  javax.swing.TransferHandler$SwingDropTarget
 172:             2           1232  javax.swing.JLayeredPane
 173:            17           1224  sun.java2d.loops.FillRect
 174:            17           1224  sun.java2d.loops.DrawGlyphList
 175:             8           1216  com.sun.java.swing.plaf.windows.WindowsMenuItemUI
 176:            25           1200  sun.font.FontManager$FontRegistrationInfo
 177:             6           1200  com.sun.java.swing.plaf.windows.WindowsSplitPaneUI
 178:            29           1160  java.util.logging.LogManager$LogNode
 179:            16           1152  sun.java2d.loops.DrawPolygons
 180:            24           1152  sun.font.EAttribute
 181:            16           1152  sun.java2d.loops.FillSpans
 182:            16           1152  sun.java2d.loops.FillPath
 183:            24           1152  java.util.Locale
 184:            16           1152  sun.java2d.loops.DrawLine
 185:            16           1152  sun.java2d.loops.DrawRect
 186:            16           1152  sun.java2d.loops.DrawPath
 187:            28           1120  [Ljavax.swing.text.AbstractDocument$AbstractElement;
 188:             7           1064  [Ljava.util.concurrent.ConcurrentHashMap$Segment;
 189:            22           1056  javax.swing.UIDefaults$ProxyLazyValue
 190:            22           1056  de.schmiereck.noiseComp.generator.GeneratorTypeData
 191:            33           1056  java.io.ExpiringCache$Entry
 192:            12           1056  sun.java2d.loops.GraphicsPrimitiveProxy
 193:             1           1048  [Ljava.lang.Character;
 194:             5           1040  com.sun.java.swing.plaf.windows.WindowsComboBoxUI
 195:            43           1032  sun.font.Font2DHandle
 196:            43           1032  sun.reflect.DelegatingConstructorAccessorImpl
 197:            16           1024  de.schmiereck.noiseComp.generator.InputData
 198:            42           1008  java.util.HashSet
 199:            14           1008  javax.swing.text.AbstractDocument$BidiRootElement
 200:            14           1008  sun.java2d.loops.TransformHelper
 201:            14           1008  javax.swing.text.AbstractDocument$BidiElement
 202:            18           1008  java.io.ObjectStreamField
 203:            25           1000  sun.swing.SwingLazyValue
 204:             5           1000  sun.font.FileFontStrike
 205:            41            984  sun.reflect.DelegatingMethodAccessorImpl
 206:            12            960  java.nio.DirectByteBuffer
 207:            20            960  com.sun.java.swing.plaf.windows.TMSchema$Prop
 208:             1            936  de.schmiereck.noiseComp.swingView.appView.AppView
 209:            13            936  sun.java2d.loops.DrawGlyphListLCD
 210:            39            936  java.util.regex.Pattern$CharPropertyNames$1
 211:            29            928  javax.swing.plaf.InputMapUIResource
 212:            28            896  javax.swing.text.GapContent$StickyPosition
 213:            14            896  javax.swing.text.GapContent
 214:            14            896  javax.swing.text.AbstractDocument$LeafElement
 215:            14            896  javax.swing.text.AbstractDocument$BranchElement
 216:            14            896  com.sun.java.swing.plaf.windows.WindowsTextFieldUI
 217:            37            888  java.util.HashMap$Values
 218:            37            888  javax.swing.event.ChangeEvent
 219:             9            864  javax.swing.plaf.basic.BasicScrollPaneUI
